,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
5231,SpiceJet,18/04/2019,Kolkata,Banglore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No info,4174
6175,IndiGo,15/04/2019,Banglore,Delhi,BLR ? DEL,07:10,10:05,2h 55m,non-stop,No info,4823
8042,Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,22:50,19:00 13 Jun,20h 10m,1 stop,In-flight meal not included,10262
8514,IndiGo,1/05/2019,Chennai,Kolkata,MAA ? CCU,13:15,15:35,2h 20m,non-stop,No info,3597
3540,Jet Airways,9/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,12:35 10 Jun,26h 55m,2 stops,In-flight meal not included,10368
405,Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,04:40 07 Jun,8h 40m,1 stop,No info,13731
7989,Air India,9/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,19:15 10 Jun,23h 30m,2 stops,No info,10178
7311,Vistara,09/03/2019,Banglore,New Delhi,BLR ? AMD ? DEL,06:40,10:25 13 Mar,27h 45m,1 stop,No info,10008
5566,IndiGo,27/04/2019,Banglore,Delhi,BLR ? DEL,10:10,13:00,2h 50m,non-stop,No info,4423
6351,SpiceJet,24/06/2019,Kolkata,Banglore,CCU ? BLR,06:55,09:30,2h 35m,non-stop,No info,3873
4996,Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,01:30 16 Jun,7h 15m,1 stop,No info,13377
1953,Air India,12/06/2019,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,17:30,13:45 13 Jun,20h 15m,2 stops,No info,12224
6433,Air India,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,19:15,11h 15m,1 stop,No info,9929
1070,Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,09:45 07 May,13h 20m,1 stop,In-flight meal not included,8066
9089,Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:00,10h 30m,1 stop,No info,10877
6605,Jet Airways,01/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,21:20,14h 20m,1 stop,No info,27992
10060,Air India,3/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,12:00,07:40 04 Jun,19h 40m,2 stops,No info,8603
9288,Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,12:00 10 May,27h 35m,1 stop,In-flight meal not included,9663
8745,Air India,21/06/2019,Mumbai,Hyderabad,BOM ? HYD,06:20,07:40,1h 20m,non-stop,No info,3100
8529,Air India,18/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,19:15 19 May,23h 30m,2 stops,No info,10651
6044,Jet Airways,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,12:35 10 Jun,21h 35m,1 stop,In-flight meal not included,10262
2536,Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,19:15,11h 15m,1 stop,No info,14848
1632,Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,18:25,12:35 16 Jun,18h 10m,2 stops,No info,14237
3420,Air India,21/05/2019,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,08:20,07:55 22 May,23h 35m,2 stops,No info,11222
1737,IndiGo,6/05/2019,Chennai,Kolkata,MAA ? CCU,07:55,10:15,2h 20m,non-stop,No info,3850
6074,Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? GAU ? BLR,10:20,17:35,7h 15m,1 stop,No info,8355
483,Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:00,9h,1 stop,No info,10197
8595,Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,04:55,19:00,14h 5m,1 stop,No info,11098
6243,Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,18:15,11h 45m,1 stop,No info,13626
3687,Air India,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,03:50,19:15,15h 25m,1 stop,No info,8669
7271,Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,No info,5678
8879,IndiGo,27/03/2019,Kolkata,Banglore,CCU ? BLR,09:35,12:20,2h 45m,non-stop,No info,4148
7533,IndiGo,18/05/2019,Banglore,Delhi,BLR ? DEL,16:55,19:55,3h,non-stop,No info,4823
10185,IndiGo,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,04:55,21:00,16h 5m,1 stop,No info,6758
7754,Jet Airways,24/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,04:25 26 Jun,29h 20m,2 stops,No info,12819
5473,IndiGo,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,17:10,01:30 16 May,8h 20m,1 stop,No info,6979
10440,GoAir,24/03/2019,Banglore,New Delhi,BLR ? DEL,20:55,23:50,2h 55m,non-stop,No info,5706
10111,SpiceJet,21/06/2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3919
7383,Jet Airways,1/04/2019,Banglore,Delhi,BLR ? DEL,07:10,10:10,3h,non-stop,No info,7229
2658,Jet Airways,12/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 13 Jun,22h 55m,2 stops,No info,13014
2718,Air India,9/03/2019,Delhi,Cochin,DEL ? RPR ? NAG ? BOM ? COK,05:15,19:15 10 Mar,38h,3 stops,No info,15586
7771,Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,18:15 22 May,21h 5m,1 stop,In-flight meal not included,10844
7583,Multiple carriers,9/03/2019,Delhi,Cochin,DEL ? BOM ? COK,15:15,01:35 10 Mar,10h 20m,1 stop,No info,15200
2998,Air India,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:30,08:55 22 May,15h 25m,1 stop,No info,11936
2424,Jet Airways,1/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,12:00 02 Apr,17h 5m,1 stop,In-flight meal not included,7064
2218,Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:15,10h 45m,1 stop,No info,8099
5248,SpiceJet,27/05/2019,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,1h 30m,non-stop,No check-in baggage included,2385
493,IndiGo,6/06/2019,Delhi,Cochin,DEL ? HYD ? COK,08:35,22:30,13h 55m,1 stop,No info,6442
1098,Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,18:15,9h 50m,1 stop,No info,14781
1467,Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:00,9h,1 stop,No info,14502
4476,Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,07:40 19 Mar,23h 40m,1 stop,In-flight meal not included,7832
10623,Jet Airways,9/04/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,19:00 10 Apr,19h 55m,2 stops,No info,9483
1968,Air India,6/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,12:00,07:40 07 Jun,19h 40m,2 stops,No info,8603
1032,Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,9h 15m,1 stop,No info,8018
7231,IndiGo,18/04/2019,Banglore,Delhi,BLR ? DEL,16:55,19:55,3h,non-stop,No info,4990
7406,GoAir,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,14:25,19:35,5h 10m,1 stop,No info,7870
8695,Jet Airways,12/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,05:30,19:00,13h 30m,2 stops,No info,13292
8457,SpiceJet,15/03/2019,Banglore,New Delhi,BLR ? HYD ? DEL,15:35,23:40,8h 5m,1 stop,No info,5822
5583,Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,21:00,12h,1 stop,No info,13587
2622,SpiceJet,21/05/2019,Banglore,Delhi,BLR ? DEL,21:10,00:05 22 May,2h 55m,non-stop,No info,3625
4755,SpiceJet,6/03/2019,Delhi,Cochin,DEL ? BLR ? COK,16:35,22:50,6h 15m,1 stop,No info,7185
5410,Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,18:15 10 May,25h 45m,1 stop,No info,13941
6657,Air Asia,12/05/2019,Banglore,Delhi,BLR ? DEL,11:10,13:55,2h 45m,non-stop,No info,3383
3854,Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,09:45 25 May,13h 20m,1 stop,No info,13067
1276,IndiGo,3/05/2019,Banglore,Delhi,BLR ? DEL,16:55,19:55,3h,non-stop,No info,4823
293,SpiceJet,6/03/2019,Mumbai,Hyderabad,BOM ? HYD,05:45,07:05,1h 20m,non-stop,No info,4129
9500,Vistara,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,10:45 16 May,17h 45m,1 stop,No info,8452
5329,Air India,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:30,08:55 13 May,12h 25m,1 stop,No info,10203
8345,Jet Airways,18/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,12:35 19 May,26h 55m,2 stops,In-flight meal not included,13029
3570,Air India,9/03/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,19:15 10 Mar,26h 35m,2 stops,No info,11911
5229,Air India,27/03/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,07:40 28 Mar,14h 25m,2 stops,No info,8367
5519,Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,01:30 07 Jun,11h 30m,1 stop,No info,13377
627,Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,21:25,10:45 13 Mar,13h 20m,1 stop,No info,13817
3591,Air Asia,21/05/2019,Delhi,Cochin,DEL ? BLR ? COK,07:55,22:30,14h 35m,1 stop,No info,6152
9804,Air India,18/03/2019,Banglore,New Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,4441
7224,Vistara,18/04/2019,Banglore,Delhi,BLR ? DEL,17:00,19:35,2h 35m,non-stop,No info,5613
10127,IndiGo,21/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,04:55,21:20,16h 25m,2 stops,No info,6223
8137,Jet Airways,6/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 07 May,22h 55m,2 stops,No info,15129
4342,Air Asia,12/04/2019,Banglore,Delhi,BLR ? DEL,04:55,07:45,2h 50m,non-stop,No info,4282
7808,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM ? HYD,15:50,17:20,1h 30m,non-stop,No info,5678
2159,SpiceJet,12/05/2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257
3554,SpiceJet,18/05/2019,Banglore,Delhi,BLR ? DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,4319
4551,IndiGo,6/05/2019,Kolkata,Banglore,CCU ? BLR,04:40,07:15,2h 35m,non-stop,No info,4804
1130,Vistara,12/06/2019,Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,non-stop,No info,6216
9404,Vistara,1/04/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,10:45 02 Apr,17h 45m,1 stop,No info,9187
6737,SpiceJet,6/03/2019,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No info,7298
8748,SpiceJet,15/06/2019,Mumbai,Hyderabad,BOM ? HYD,05:45,07:15,1h 30m,non-stop,No check-in baggage included,2647
8121,Jet Airways,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,21:50,12:35 02 Jun,14h 45m,1 stop,In-flight meal not included,10262
9795,Jet Airways,1/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,04:25 02 Jun,18h 45m,2 stops,No info,13014
6695,SpiceJet,21/04/2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No info,4491
7055,IndiGo,21/04/2019,Delhi,Cochin,DEL ? BLR ? COK,02:00,07:45,5h 45m,1 stop,No info,6258
6631,Jet Airways,27/04/2019,Banglore,Delhi,BLR ? DEL,17:45,20:45,3h,non-stop,No info,7229
2137,Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,23:35,14h,1 stop,No info,12121
3874,Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,15:30,13h 15m,1 stop,No info,12327
8881,Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,12:35 25 Jun,23h 35m,1 stop,In-flight meal not included,10262
3691,Vistara,24/03/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,22:10,15h,1 stop,No info,12942
117,Multiple carriers,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,15:25,01:35 04 Mar,10h 10m,1 stop,No info,15147
8006,Air India,3/03/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,19:15 04 Mar,26h,2 stops,No info,13442
8714,SpiceJet,18/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,15:05,20:20,5h 15m,1 stop,No info,4963
2826,Vistara,09/03/2019,Banglore,New Delhi,BLR ? DEL,16:00,18:35,2h 35m,non-stop,No info,7923
8355,Air India,18/05/2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,3100
10375,Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,19:00 04 Jun,27h,1 stop,In-flight meal not included,10262
5708,Jet Airways,15/03/2019,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,non-stop,No info,5678
7122,Jet Airways,12/04/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,No info,7229
105,Jet Airways,18/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029
7690,Air India,9/06/2019,Kolkata,Banglore,CCU ? HYD ? BLR,19:00,11:05 10 Jun,16h 5m,1 stop,No info,6327
9423,Air India,1/04/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:30,08:55 02 Apr,12h 25m,1 stop,No info,7893
7749,Multiple carriers,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,21:00,14h,1 stop,No info,15603
1190,Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 02 May,16h,1 stop,In-flight meal not included,9663
7240,Jet Airways,24/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,21:25,19:00 25 Jun,21h 35m,2 stops,No info,13292
7171,IndiGo,15/06/2019,Kolkata,Banglore,CCU ? BLR,22:15,00:50 16 Jun,2h 35m,non-stop,No info,4804
2002,Vistara,24/03/2019,Banglore,New Delhi,BLR ? DEL,21:10,00:05 28 Mar,2h 55m,non-stop,No info,4353
839,Jet Airways,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,11h 55m,1 stop,In-flight meal not included,10262
5300,IndiGo,21/05/2019,Banglore,Delhi,BLR ? DEL,22:10,01:00 22 May,2h 50m,non-stop,No info,3625
3293,GoAir,21/06/2019,Banglore,Delhi,BLR ? DEL,20:55,23:40,2h 45m,non-stop,No info,3898
7622,Jet Airways,9/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,04:25 10 May,8h 55m,2 stops,No info,15129
5696,Air India,18/05/2019,Delhi,Cochin,DEL ? UDR ? BOM ? COK,13:20,07:40 19 May,18h 20m,2 stops,No info,13801
3803,Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,09:20 10 May,19h 15m,1 stop,In-flight meal not included,9663
8967,Jet Airways,9/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,04:25 10 Jun,18h 45m,2 stops,In-flight meal not included,10368
8877,IndiGo,6/04/2019,Banglore,Delhi,BLR ? DEL,08:30,11:20,2h 50m,non-stop,No info,4823
4736,Jet Airways,1/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,20:45,14h 15m,1 stop,In-flight meal not included,7064
8544,SpiceJet,24/05/2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
7980,Air India,3/03/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,05:55,07:40 04 Mar,25h 45m,2 stops,No info,15428
6187,Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,21:05,11h 30m,1 stop,No info,14151
10270,Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,19:10 13 May,22h 45m,1 stop,No info,13067
3721,Vistara,24/03/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,09:10 25 Mar,26h,1 stop,No info,11682
10477,IndiGo,15/06/2019,Banglore,Delhi,BLR ? DEL,08:30,11:20,2h 50m,non-stop,No info,4823
955,Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,04:40 13 May,22h 10m,1 stop,No info,13941
4364,Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,19:00,7h 30m,1 stop,No info,14714
5747,Air India,24/03/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:30,20:25 25 Mar,23h 55m,1 stop,No info,12173
3709,GoAir,1/05/2019,Kolkata,Banglore,CCU ? AMD ? BLR,16:40,00:15 02 May,7h 35m,1 stop,No info,6484
7576,SpiceJet,18/05/2019,Delhi,Cochin,DEL ? MAA ? COK,15:45,22:05,6h 20m,1 stop,No info,7317
9582,Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,03:50,19:00,15h 10m,1 stop,No info,10197
990,Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,15:05,01:30 16 Jun,10h 25m,2 stops,No info,15965
3356,Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,20:45 16 May,23h 35m,1 stop,In-flight meal not included,10844
5983,Vistara,1/04/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,23:25 02 Apr,27h 5m,1 stop,No info,7927
1955,IndiGo,15/04/2019,Kolkata,Banglore,CCU ? BLR,09:35,12:20,2h 45m,non-stop,No info,4174
471,Air India,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,03:50,19:15,15h 25m,1 stop,No info,8669
6220,SpiceJet,21/06/2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
1751,Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,19:00 28 May,27h,1 stop,In-flight meal not included,12898
